step,len_top_returned,mass_k40,mass_k100,mass_k128,p_chosen_in_top
441,128,0.999562847,0.99972956,0.999768078,0.827997083
442,128,0.999866701,0.999959144,0.999970221,0.576872812
443,128,0.984540362,0.996152396,0.99737791,0.498119115
444,128,0.99870596,0.999650091,0.999736468,0.539018334
445,128,0.999925312,0.99997427,0.999981766,0.993469715
446,128,0.998730048,0.999493954,0.999605657,0.677738371
447,128,0.997266306,0.999068273,0.999310028,0.548110078
448,128,0.999290074,0.999726944,0.999792384,0.533536258
449,128,0.997908831,0.999090215,0.999277473,0.651601554
450,128,0.9999455,0.999981663,0.999987948,0.981981695
451,128,0.99980677,0.999963021,0.999974629,0.888103663
452,128,1.000000419,1.000000745,1.000000792,0.999993443
453,128,0.999995849,1.000000052,1.00000039,0.712236042
454,128,0.999996684,1.000000262,1.000001016,0.941398682
455,128,0.999996161,1.00000023,1.000000773,0.996936679
456,128,0.999998849,1.000001174,1.000001619,0.999890208
457,128,1.000000102,1.000000755,1.000000809,0.999523759
458,128,0.999991784,0.999998988,1.000000152,0.999744475
459,128,0.999924744,0.999988176,0.999993254,0.59512853
460,128,0.962811068,0.991323316,0.9941576,0.18427156
461,128,0.998508471,0.999438355,0.999574956,0.8522442
462,128,0.993800187,0.997863127,0.998439016,0.483545864
463,128,0.978695654,0.993318834,0.994900149,0.262286279
464,128,0.999998035,1.000001109,1.000001692,0.9978683
465,128,0.991064514,0.996379447,0.997172664,0.47571836
466,128,0.997914432,0.999452929,0.99960997,0.857336279
467,128,0.996716922,0.999169717,0.999421718,0.550198124
468,128,0.998881131,0.999712505,0.999792018,0.304823858
469,128,0.996503293,0.998300052,0.998629258,0.259834722
470,128,0.992703541,0.997767385,0.998387013,0.526199708
471,128,0.997481585,0.999066563,0.99926908,0.850346267
472,128,0.999891572,0.999982251,0.99998891,0.98520422
473,128,0.999971629,0.99999455,0.999997195,0.919375059
474,128,0.99667634,0.998621684,0.998927329,0.721740373
475,128,0.999907688,0.999963652,0.999972488,0.99698621
476,128,0.999978793,0.999995966,0.999998335,0.983188212
477,128,0.999965887,0.999991591,0.999994865,0.959190489
478,128,0.999999804,1.000000343,1.000000401,0.998830855
479,128,0.999985482,0.99999813,0.999999591,0.697052595
480,128,0.985673621,0.996219865,0.99742003,0.631904007
481,128,0.997738463,0.998909574,0.999126493,0.681766094
482,128,0.998735015,0.99942519,0.999518643,0.569473687
483,128,0.995607264,0.998107887,0.998449333,0.636304906
484,128,0.998757143,0.999412829,0.999535178,0.832542117
485,128,0.996441871,0.998567219,0.998921752,0.60317135
486,128,0.995789227,0.99815529,0.998521684,0.635109064
487,128,0.994172588,0.998215184,0.99861452,0.656430006
488,128,0.999186792,0.999742734,0.999805596,0.927072584
489,128,0.999959049,0.999986738,0.999991109,0.998954177
490,128,0.995511152,0.998862306,0.999154816,0.346392026
